StudentID,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
170,6,7,6,6,6,6,6,6,7,7,6,6,8,6,7,7,7,6,6,6,6,8,6,6,6,6,6,6,7,6
171,8,10,7,7,7,6,6,7,7,9,6,7,7,7,8,8,9,8,8,6,7,8,8,7,7,8,8,7,9,6
172,7,8,7,8,7,7,8,8,8,9,6,7,8,8,8,7,9,7,8,6,7,8,8,8,7,8,8,6,9,6
173,6,6,7,7,6,7,8,7,7,7,6,6,8,7,7,7,6,7,6,8,6,8,6,7,6,6,7,6,6,6
174,6,6,7,6,6,6,7,6,7,7,7,6,7,7,7,6,6,6,6,7,7,7,6,7,6,6,6,6,6,6
175,7,7,6,6,6,7,6,6,7,8,6,6,7,8,6,6,8,6,6,6,6,7,7,6,6,6,8,7,6,7
176,9,10,7,8,8,8,8,7,10,8,6,7,9,9,7,9,9,8,8,9,9,9,7,7,8,7,10,7,8,7
177,8,9,8,8,8,8,10,8,8,9,6,9,8,10,8,9,7,8,8,8,7,9,8,8,7,7,10,9,7,8
178,6,9,7,7,6,7,8,7,8,9,6,7,7,6,8,7,8,6,7,6,6,7,7,9,6,7,7,7,9,7
179,7,8,7,7,8,7,8,7,8,7,6,7,7,7,7,7,8,7,7,7,8,9,7,7,6,7,8,7,8,6
180,7,9,7,8,7,7,7,7,7,9,6,8,7,7,9,8,8,6,8,7,8,7,6,8,6,6,7,7,7,7
181,8,6,7,6,6,6,6,6,6,7,7,6,6,6,7,10,6,6,8,6,9,6,8,7,6,6,6,9,7,8
182,8,7,8,7,9,8,9,9,8,8,6,8,10,8,8,9,8,8,8,8,9,8,7,8,7,8,9,8,7,8
183,9,8,8,7,7,7,9,8,8,9,6,9,8,8,8,9,8,6,8,7,8,8,8,8,8,8,7,8,8,8
184,8,9,8,7,7,9,8,8,7,8,7,7,10,9,8,9,8,8,9,8,9,8,7,8,7,8,9,8,7,9
185,7,6,7,7,7,7,7,7,7,8,6,6,8,8,7,6,6,6,6,8,7,7,7,7,7,6,8,6,7,7
186,7,7,7,6,7,7,7,8,6,8,6,7,6,7,7,7,7,6,6,6,8,6,7,7,7,7,7,6,6,6
187,7,9,8,7,8,8,8,8,9,8,8,9,9,9,9,7,9,8,8,8,8,9,8,9,8,8,9,8,9,7
188,6,6,7,6,6,7,7,7,6,6,6,6,7,6,6,7,6,6,6,6,7,7,6,7,6,6,6,6,6,6
189,8,8,7,8,9,8,8,8,8,8,6,7,8,7,8,9,8,8,8,8,8,9,7,9,7,7,9,7,7,8
190,8,7,6,7,6,6,6,6,9,6,7,7,8,7,8,7,7,7,7,7,7,8,6,7,6,6,8,6,7,6
191,9,9,8,7,9,8,10,9,8,10,6,8,8,8,8,9,9,8,7,8,9,7,8,9,8,8,8,9,8,8
192,8,9,8,9,9,8,9,9,8,10,6,9,7,7,10,8,9,8,8,8,8,7,8,9,9,8,7,7,9,7
193,9,10,7,8,8,7,9,7,10,8,7,7,10,10,8,9,8,8,10,9,9,10,7,7,7,7,10,8,8,8
194,9,8,8,7,7,8,10,8,8,9,6,8,7,8,8,8,8,7,8,7,8,8,8,8,7,7,8,8,6,9
195,8,10,8,9,8,8,9,8,8,9,6,9,8,8,9,8,9,7,8,9,8,10,8,9,8,9,9,7,8,7
196,6,6,7,6,6,7,7,7,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6
197,8,9,8,9,9,8,9,9,8,10,6,9,8,7,10,7,9,7,7,7,8,8,9,8,8,8,7,8,8,7
198,6,7,7,6,7,7,7,7,6,6,7,7,6,7,7,8,7,6,6,7,7,7,7,8,6,6,6,7,6,6
199,6,7,6,6,7,6,7,6,7,7,6,7,7,7,7,7,7,6,6,6,7,7,6,8,7,7,7,8,7,8
200,6,6,6,6,8,6,6,6,6,6,9,6,7,6,7,6,6,6,6,6,6,6,6,7,6,10,6,9,6,6
201,7,6,6,6,6,6,6,6,6,6,6,7,8,8,6,6,6,6,6,6,7,7,6,6,6,6,6,6,8,6
202,8,8,7,7,6,6,8,7,8,8,6,7,8,7,8,7,8,7,8,7,7,8,7,8,7,7,8,6,6,6
203,6,7,7,8,7,6,7,8,7,8,6,6,7,6,6,6,6,7,6,6,7,7,7,8,6,6,6,6,7,6
204,6,7,8,6,6,6,9,6,7,6,6,10,7,7,6,6,6,6,6,8,8,8,9,6,6,6,7,8,6,7
205,8,9,6,8,7,7,7,7,10,9,7,7,9,8,9,8,8,8,9,6,7,9,8,8,7,9,10,7,9,6
206,6,7,6,7,6,6,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,7,6,8,6,7,7,6,6,7
207,7,9,6,8,8,8,8,8,8,10,8,9,8,6,9,9,9,8,9,7,7,8,9,9,8,9,9,8,9,8
208,10,10,8,8,8,8,9,8,10,9,7,8,10,9,8,9,9,9,9,9,9,10,8,8,9,9,9,9,9,8
209,9,10,8,9,8,8,9,9,9,10,7,9,9,7,10,9,10,9,9,7,9,10,8,9,9,9,10,8,10,7
210,7,7,7,6,7,6,8,8,6,8,8,8,7,7,7,8,7,6,7,7,9,6,7,7,6,6,7,7,6,7
211,7,8,7,7,7,6,7,7,8,7,6,7,8,8,6,7,7,6,8,8,7,8,6,8,6,6,8,6,7,6
212,7,9,6,7,6,7,7,7,7,7,6,6,7,8,6,7,6,7,8,8,7,8,6,7,7,6,8,6,7,6
213,9,6,6,7,6,6,6,6,6,6,6,7,6,6,7,9,6,8,8,6,8,6,6,7,6,6,6,6,6,6
214,8,9,6,7,8,6,8,7,7,9,6,8,7,7,7,8,8,7,8,8,8,8,7,7,7,7,7,7,7,6
215,7,8,7,7,6,6,7,7,8,7,6,6,8,9,7,6,7,7,7,7,7,9,7,7,7,6,8,6,8,6
216,6,7,6,7,6,6,7,6,7,6,6,6,7,6,6,6,7,6,6,6,6,7,6,6,6,6,7,6,6,6
217,7,7,6,6,7,6,8,7,6,7,6,7,7,7,7,8,8,6,6,6,7,7,6,7,6,7,8,7,7,6
218,8,9,6,7,6,7,8,7,9,8,6,7,8,9,8,7,8,7,8,7,8,8,7,7,6,8,10,6,8,7
